Эмитент;Дата открытия;Тикер;Цена открытия;Комментарий;Цель;Цена закрытия;Дата закрытия;Результат;Срок;;;;;;;;;;;;;;;;;
Яндекс;14.01.2025;YDEX;4029;РОСТ;4230;4229;07.02.2025;4.96%;24 дней;;;;;;;;;;;;;;;;;
Вуш;09.01.2025;WUSH;168.2;РОСТ;178;174.07;15.01.2025;3.49%;6 дней;;;;;;;;;;;;;;;;;
Вуш;28.12.2024;WUSH;158.89;РОСТ;170;178.96;09.01.2025;12.63%;12 дней;;;;;;;;;;;;;;;;;
Т-Технологии;28.12.2024;Т;;Дивиденды;;555;;;;;;;;;;;;;;;;;;;;
АЛРОСА;24.12.2024;ALRS;52.6;РОСТ;55;57.53;30.12.2024;9.37%;6 дней;;;;;;;;;;;;;;;;;
Банк Спб;19.12.2024;BSPB;319.93;РОСТ;337;335.41;20.12.2024;4.84%;1 дней;;;;;;;;;;;;;;;;;
Сбербанк;17.12.2024;SBER;224.7;РОСТ;235;246.68;20.12.2024;9.78%;3 дней;;;;;;;;;;;;;;;;;
Татнефть;10.12.2024;TATN;559.3;РОСТ;588;594.7;20.12.2024;6.33%;10 дней;;;;;;;;;;;;;;;;;
МТС;03.12.2024;MTSS;174.95;ПАДЕНИЕ;165;164.95;05.12.2024;5.72%;2 дней;;;;;;;;;;;;;;;;;
"АФК ""Система""";26.11.2024;AFKS;12.13;ПАДЕНИЕ;11.6;11.73;16.12.2024;3.30%;20 дней;;;;;;;;;;;;;;;;;
Т-Технологии;21.11.2024;T;2524;РОСТ;2640;2642.6;26.12.2024;4.70%;35 дней;;;;;;;;;;;;;;;;;
Мечел;19.11.2024;MTLR;99.9;ПАДЕНИЕ;95.6;95.31;21.11.2024;4.59%;2 дней;;;;;;;;;;;;;;;;;
ИНТЕР РАО;14.11.2024;IRAO;3.96;РОСТ;4.14;;Открыта;;В работе;;;;;;;;;;;;;;;;;
Полюс Золото;12.11.2024;PLZL;14457;РОСТ;;15065;12.12.2024;4.21%;30 дней;;;;;;;;;;;;;;;;;
АЛРОСА;01.11.2024;ALRS;;Дивиденды;;697,2;;;;;;;;;;;;;;;;;;;;
Мечел;31.10.2024;MTLR;96.99;ПАДЕНИЕ;;100.37;01.11.2024;-3.48%;1 дней;;;;;;;;;;;;;;;;;
ИНТЕР РАО;29.10.2024;IRAO;3.76;РОСТ;3.93;3.96;12.11.2024;5.32%;14 дней;;;;;;;;;;;;;;;;;
Хедхантер;24.10.2024;HEAD;4145;РОСТ;4350;4368;29.10.2024;5.38%;5 дней;;;;;;;;;;;;;;;;;
Сургутнефтегаз;21.10.2024;SNGS;56.67;РОСТ;59.8;58.12;22.11.2024;2.56%;32 дней;;;;;;;;;;;;;;;;;
Роснефть;11.10.2024;ROSN;492.1;РОСТ;530;535.35;20.12.2024;8.79%;70 дней;;;;;;;;;;;;;;;;;
Полюс Золото;03.10.2024;PLZL;13399.5;РОСТ;14050;14211;21.10.2024;6.06%;18 дней;;;;;;;;;;;;;;;;;
Норникель;02.10.2024;GMKN;109.86;РОСТ;121;120.88;15.01.2025;10.03%;105 дней;;;;;;;;;;;;;;;;;
АЛРОСА;02.10.2024;ALRS;54.21;РОСТ;57.3;48.03;03.12.2024;-11.40%;62 дней;;;;;;;;;;;;;;;;;
Газпром НЕФТЬ;02.10.2024;SIBN;708.55;РОСТ;725;699.3;11.10.2024;-1.31%;9 дней;;;;;;;;;;;;;;;;;
Сбербанк;02.10.2024;SBER;265.56;РОСТ;;230.45;11.12.2024;-13.22%;70 дней;;;;;;;;;;;;;;;;;
Сургутнефтегаз;02.10.2024;SNGS;25.75;РОСТ;;23.44;28.11.2024;-8.97%;57 дней;;;;;;;;;;;;;;;;;
"АФК ""Система""";01.10.2024;AFKS;15.8;ПАДЕНИЕ;15;15;11.10.2024;5.06%;10 дней;;;;;;;;;;;;;;;;;
